date,in_situ,satellite
2015-04-01,0.027,0.14
2015-04-02,0.0235,0.1
2015-04-03,0.0235,
2015-04-04,0.0225,0.0
2015-04-05,0.0205,
2015-04-06,0.0195,0.13
2015-04-07,0.02,0.17
2015-04-08,0.0185,0.06
2015-04-09,0.017,0.26
2015-04-10,0.02,0.4
2015-04-11,0.029,0.34
2015-04-12,0.031,
2015-04-13,0.031,0.16
2015-04-14,0.0305,0.13
2015-04-15,0.03,0.04
2015-04-16,0.029,0.3
2015-04-17,0.034,0.29
2015-04-18,0.034,0.22
2015-04-19,0.032,
2015-04-20,0.033,0.12
2015-04-21,0.033,
2015-04-22,0.0305,0.11
2015-04-23,0.0305,0.34
2015-04-24,0.033,0.13
2015-04-25,0.0315,0.23
2015-04-26,0.0295,0.36
2015-04-27,0.0345,0.33
2015-04-28,0.037,
2015-04-29,0.038,0.3
2015-04-30,0.037,0.24
